date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2025-10-02,44736.03125,45125.96094,44659.21875,44936.73047,131100000,0.00866,0.01853,59.52686,674.79226,-109.53048,0.61384,1.95044,38.73195,27.95442,33.86137,0.32675,2.01183,5.52835,0.33999,-0.40244,0.16305,,,16.29000,0.06143,3,up|high|neg
2025-10-03,45042.53906,45778.66016,45042.53906,45769.50000,117600000,0.01853,0.04753,66.20508,697.46729,-69.48436,0.81259,3.53450,96.23791,49.29743,33.77910,1.02877,1.89945,5.58813,0.06184,-0.61758,0.44899,,,16.63000,2.08716,4,up|high|neg
2025-10-06,46636.07031,48150.03906,46592.98828,47944.76172,178300000,0.04753,0.00013,76.91852,880.80944,91.08623,1.23974,7.95539,94.58713,76.51900,35.50405,6.43557,2.73634,5.76004,0.00655,0.04555,1.14765,,,16.65000,0.12027,0,up|hot|pos
2025-10-07,48281.12109,48527.32812,47904.37891,47950.87891,154200000,0.00013,-0.00450,76.94066,1014.90383,180.14450,1.11997,7.46273,86.17522,92.33342,37.28712,5.40123,3.60729,5.95346,0.36466,1.66905,-0.09568,,,16.37000,-1.68167,1,up|hot|pos
2025-10-08,47925.21875,48181.12109,47728.26953,47734.98828,142200000,-0.00450,0.01771,74.23447,1091.17565,205.13305,0.99387,6.44965,80.99758,87.25331,38.60540,4.61246,4.51485,6.16943,-0.38114,0.48460,0.62849,,,17.24000,5.31459,2,up|hot|pos
2025-10-09,48035.42188,48597.07812,47995.21875,48580.44141,138500000,0.01771,-0.01012,77.56270,1205.94127,255.91894,1.06725,7.73249,99.60757,88.92679,40.04974,6.17532,5.54964,6.42132,0.58277,1.14414,0.09790,,,16.30000,-5.45244,3,up|hot|pos
2025-10-10,48510.71875,48510.71875,47962.60938,48088.80078,150700000,-0.01012,-0.02582,71.75791,1242.89524,234.29832,0.92003,6.06362,88.01071,89.53862,41.32458,6.02759,6.00004,6.67511,-0.27556,0.41368,-4.45800,,,16.43000,0.79755,4,up|hot|pos
2025-10-14,47446.73047,47865.64844,46544.05078,46847.32031,170300000,-0.02582,0.01762,59.62328,1158.64825,120.04107,0.66771,2.93793,58.72658,82.11495,40.08324,4.00404,5.12021,6.80674,1.55987,-0.59425,0.37927,,,19.03000,15.82471,1,up|high|pos
2025-10-15,47002.30078,47774.82812,46910.82812,47672.67188,118400000,0.01762,0.01269,63.98380,1145.27882,85.33731,0.79353,4.32474,76.52516,74.42082,38.93057,6.09811,4.57022,6.95144,-0.15643,0.24860,0.53978,,,20.81000,9.35365,2,up|high|pos
2025-10-16,48107.44141,48317.33984,47937.71875,48277.73828,121100000,0.01269,-0.01441,66.81336,1170.01999,88.06278,0.86252,5.22203,91.01600,75.42258,38.33322,8.36547,4.38435,7.09473,0.40260,-0.46119,-0.62708,,,20.64000,-0.81692,3,up|high|pos
2025-10-17,47820.96875,48140.89844,47494.30859,47582.14844,124800000,-0.01441,0.03370,60.89082,1120.58189,30.89974,0.71324,3.33457,50.56424,72.70180,37.11468,5.88698,3.57690,7.23166,-0.62944,-0.49891,1.42459,,,25.31000,22.62597,4,up|high|pos
2025-10-20,48332.71094,49185.50000,48254.82812,49185.50000,121000000,0.03370,0.00265,67.94439,1196.98085,85.83897,0.94053,6.32265,100.00000,80.52675,36.84336,7.46349,3.57209,7.43965,0.52707,-0.56566,0.93422,,,20.78000,-17.89806,0,up|high|pos
2025-10-21,49675.42969,49945.94922,49127.19922,49316.05859,124500000,0.00265,-0.00017,68.44348,1253.61172,113.97587,0.90800,6.15113,81.48414,77.34946,37.10146,2.86016,4.19403,7.58807,1.06723,0.51958,0.08910,,,18.23000,-12.27142,1,up|high|pos
2025-10-22,49252.03125,49458.28125,48613.69922,49307.78906,141100000,-0.00017,-0.01351,68.37087,1283.03478,114.71914,0.86150,5.72011,81.24106,87.57507,36.61633,2.82979,4.48953,7.69118,0.00327,-0.08349,-1.00955,,,17.87000,-1.97476,2,up|high|pos
2025-10-23,48866.57812,48866.57812,48399.05078,48641.60938,107600000,-0.01351,0.01353,62.60846,1238.32302,56.00590,0.73174,3.95837,61.65847,74.79456,35.87268,1.89928,4.31104,7.74280,-0.53375,0.74217,0.63401,,,18.60000,4.08506,3,up|high|pos
2025-10-24,49095.26953,49435.30859,48965.78125,49299.64844,109100000,0.01353,0.02460,65.68500,1241.67363,47.48522,0.80205,4.96014,81.00176,74.63376,35.61682,1.48045,4.64179,7.84396,0.58274,0.04015,0.40640,,,17.30000,-6.98925,4,up|high|pos
